en,es,confidence
you can't turn a hoe into a housewife,Genio y figura hasta la sepultura,7
you either die a hero or live long enough to see yourself become the villain,Vivir lo suficiente para convertirse en lo que se odia,2
you get more with a kind word and a gun than you do with a kind word alone,Con miel se cazan más moscas que con vinagre,5
you must spoil before you spin,"Para aprender, hay que equivocarse",6
"you smelt it, you dealt it","El que se excusa, se acusa",8
you're never fully dressed without a smile,La sonrisa es la mejor carta de presentación,6
"your face, your fate",La cara es el espejo del alma,7
your net worth is your network,Dime con quién andas y te diré quién eres,6
your network is your net worth,Dime con quién andas y te diré quién eres,6
a language is a dialect with an army and navy,"",1
a man can do what he wills but he cannot will what he wills,"",1
a revolution is not a dinner party,La revolución no se hace con guantes de seda,7
a rising tide lifts all boats,"Cuando sube la marea, suben todos los barcos",6
a spoonful of sugar helps the medicine go down,Con miel se atrapan más moscas que con vinagre,6
a spoonful of sugar makes the medicine go down,Con miel se atrapan más moscas que con vinagre,6
a watched man never plays,"",1
a) swarm in may is worth a load of hay; a swarm in june is worth a silver spoon; but a swarm in july is not worth a fly,"",1
another happy landing,"",1
any hole's a goal,"",1
"beer before liquor, never been sicker; liquor before beer, you're in the clear","Cerveza sobre vino, hace buen camino; vino sobre cerveza, cabeza traviesa",7
being poor is a mindset,"",1
being poor is a state of mind,"",1
better dead than red,"",1
"bi now, gay later","",1
claret would be port if it could,"",1
"courage is the measure of a man, beauty is the measure of a woman","",1
criss-cross applesauce,"",1
denial is not a river in egypt,No hay peor ciego que el que no quiere ver,9
do not sympathize with those who can not empathize,"",1
"dogs have masters, cats have staff","",1
dogs have masters; cats have staff,"",1
don't drop the soap,"",1
"easy, times easy, is still easy","",1
fat is flavor,"",1
fat is flavour,"",1
"feed a cold, starve a fever","",1
fingers were made before forks,Con las manos se come mejor,5
"gender is between your ears, not between your legs","",1
"get woke, go broke","",1
"go fash, lose cash","",1
"go woke, go broke","",1
hard cases make bad law,Casos extremos hacen malas leyes,6
he who denied it supplied it,"",1
he who makes a beast out of himself gets rid of the pain of being a man,"",1
he who smelt it dealt it,"",1
hoes before bros,"",1
hydrate or diedrate,"",1
"i before e, except after c","",1
iar,"",1
"if there's grass on the field, play ball","",1
"if there's grass on the pitch, play ball","",1
"if there's grass on the wicket, let's play cricket","",1
"if you go far enough left, you get your guns back","",1
it took nixon to go to china,"",1
it wasn't only only,"",1
it's better to be judged by twelve than to be carried by six,Más vale ser juzgado por doce que cargado por seis,7
iura novit curia,"",1
knee-high by the fourth of july,"",1
lex dubia non obligat,"",1
lie back and think of england,"",1
"men get spoiled by staying, women get spoiled by wandering","",1
misters before sisters,"",1
"monday's child is fair of face, tuesday's child is full of grace, wednesday's child is full of woe, thursday's child has far to go, friday's child is loving and giving, saturday's child works hard for its living, and a child that is born on the sabbath day is fair and wise and good and gay","",1
never fight a land war in asia,Nunca te metas en guerras que no puedes ganar,4
nine tailors make a man,"",1
"nine you're fine, ten you're mine","",1
no friends but the mountains,"",1
"no hymen, no diamond","",1
of course my horse,"",1
"once you go black, you never go back","",1
ontogeny recapitulates phylogeny,"",1
parsley seed goes nine times to the devil,"",1
"race on sunday, sell on monday","",1
real men don't eat quiche,"",1
scratch a liberal and a fascist bleeds,"",1
scratch a liberal and you'll find a fascist,"",1
"sell in may, then go away","",1
"sell in may, then stay away","",1
semper ubi sub ubi,"",1
smooth move,"",1
sometimes we are the student. sometimes we are the master. and sometimes we are merely the lesson,"",1
sore boob means more boob,"",1
spitters are quitters,"",1
the first turn of the screw pays all debts,"",1
the longest pole knocks the persimmon,"",1
"the odds are good, but the goods are odd","",1
the old wooden spoon beats me down,"",1
the stupid monkey knows not to eat the banana skin,"",1
there is reason in the roasting of eggs,"Cuando el río suena, agua lleva",4
there's no need to wear a hair shirt,No hay mal que cien años dure,4
time goes by slowly when you are living intensely,"",1
tokens get spent,"",1
"when the oak is before the ash, then you will only get a splash; when the ash is before the oak, then you may expect a soak","",1
woman is the root of both good and evil,"",1
y'all means all,"",1
