en,ar,confidence
snitches get stitches and wind up in ditches,اللي يوشي ما يعيش,5
so far so bad,ماشي من سيئ لأسوأ,6
sometimes we are the student. sometimes we are the master. and sometimes we are merely the lesson,دوام الحال من المحال,4
success is a great deodorant,النجاح يمسح العيوب,6
"talk of angels, and hear the flutter of their wings",اذكر القط يجي ينط,8
tell its own story,الشكل يفسِّر نفسه,3
that which has been seen cannot be unseen,اللي شاف ما ينسى,7
the best condiments are authentic flavors,أحلى الأكل ما كان على أصله,3
the comeback is greater than the setback,رُبَّ ضارَّةٍ نافعة,8
the dose makes the poison,كلُّ شيءٍ زاد عن حدِّه انقلب إلى ضدِّه,10
the family that prays together stays together,البيت الذي يُذكَرُ فيه اللهُ تعُمُّه البركة,7
the female of the species is more deadly than the male,مكرُ النساءِ عظيم,7
the freaks come out at night,الليلُ ستّارُ الأشرار,7
the good die young,أهلُ الخيرِ أعمارُهم قصيرة,6
the grey mare is the better horse,وراءَ كلِّ رجلٍ عظيمٍ امرأةٌ أعظم,6
the internet never forgets,الكلامُ المكتوبُ لا يموت,6
the law is a ass,حُكمُ القاضي على ظاهرِه,5
the law is an arse,حُكمُ القاضي على ظاهرِه,5
the law is an ass,حُكمُ القاضي على ظاهرِه,5
the longest pole knocks the persimmon,من جدَّ وجد,5
the map is not the territory,ليس كلُّ ما يلمعُ ذهبًا,5
"the more one learns about people, the more one likes one's pet",وَفَاءُ الحيوانِ خيرٌ من غدرِ الإنسان,6
the only way to understand a woman is to love her,لا يُدرَكُ القلبُ إلا بالقلب,5
the revolution will not be televised,الثورةُ يصنعُها الشعبُ لا الشاشات,5
the stupid monkey knows not to eat the banana skin,حتى القِرْدُ في عينِ أمِّه غزال,2
there is honour among thieves,حتى اللصوصُ لهم شرفُهم,4
there is no such thing as bad press,خالف تُعرَف,9
there is no such thing as bad publicity,خالف تُعرَف,10
"there is no such thing as bad weather, only bad clothing",ما في بردٍ على من تهَيَّأ له,6
there is nothing more permanent than a temporary solution,ما أطولَ من المؤقّت,6
there is reason in the roasting of eggs,ما في دخانٍ بلا نار,7
there may be snow on the mountaintop but there's fire in the valley,الشيبُ في الرأسِ لا في القلب,8
there may be snow on the rooftop but there is fire in the furnace,الشيبُ في الرأسِ لا في القلب,8
there's more than one way to fuck a cat,تؤتى البيوتُ من أبوابٍ كثيرة,4
there's no business like show business,أهلُ مكةَ أدرى بشِعابِها,4
three strikes and you're out,الثالثةُ ثابتة,7
time and tide,الوقت كالسيف إن لم تقطعه قطعك,7
time spent laughing is time spent with the gods,الضحك يطيل العمر,6
to be worn out is to be renewed,قد يُولد الشيء من رحم المعاناة,3
to learn a language is to have one more window from which to look at the world,من تعلم لغة قومٍ أمن مكرهم,6
two wrongs make a right,لا تُصلَحُ الخطيئة بالخطيئة,5
wanton kittens make sober cats,من شبَّ على شيء شاب عليه,6
watched toast never burns,من راقب المواعيد ما تأخر,3
what the eye does not see,ما خفي عن العين سَلِم عنه القلب,4
what wins on sunday sells on monday,الناس على دين ملوكهم,4
"when you have seen one, you have seen them all",إذا عُرف السبب بَطُل العجب,3
where there is a will,من جدَّ وجد,9
you don't dip your pen in company ink,لا تخلط العمل بالعلاقات الخاصة,4
you don't dip your pen in the company's ink,لا تخلط العمل بالعلاقات الخاصة,4
you don't fish off the company pier,لا تخلط العمل بالعلاقات الخاصة,4
you don't get your nookie where you get your cookies,لا تخلط العمل بالعلاقات الخاصة,4
you must spoil before you spin,لا بد من كسر البيض لصنع العجة,5
"your face, your fate",الوجه مرآة القلب,4
a dog is a man's best friend,الكلب أوفى من الإنسان,7
a language is a dialect with an army and navy,"",1
a watched man never plays,"",1
a) swarm in may is worth a load of hay; a swarm in june is worth a silver spoon; but a swarm in july is not worth a fly,"",1
absence makes the heart go yonder,البعيد عن العين بعيد عن القلب,3
another day in paradise,"",1
another happy landing,"",1
any hole's a goal,"",1
as queer as a three dollar bill,"",1
bad facts make bad law,"",1
bad things come in threes,المصايب لا تأتي فرادى,8
"beer before liquor, never been sicker; liquor before beer, you're in the clear","",1
better dead than red,"",1
better to have loved and lost than never to have loved at all,ما الحب إلا للحبيب الأول,4
"bi now, gay later","",1
bros before hoes,"",1
bros before hos,"",1
caveat lector,"",1
chicks before dicks,"",1
claret would be port if it could,"",1
"courage is the measure of a man, beauty is the measure of a woman","",1
criss-cross applesauce,"",1
denial is not a river in egypt,"",1
dicks before chicks,"",1
do not sympathize with those who can not empathize,"",1
does macy's tell gimbel's,"",1
"dogs have masters, cats have staff","",1
dogs have masters; cats have staff,"",1
"dogs have owners, cats have staff","",1
don't drop the soap,"",1
don't fight the tape,"",1
"drop acid, not bombs","",1
"easy, times easy, is still easy","",1
ecree,"",1
fat is flavor,الدهن في العتاقي,4
fat is flavour,الدهن في العتاقي,4
"february fill dyke, be it black or be it white","",1
"feed a cold, starve a fever","",1
game is game,"",1
"gender is between your ears, not between your legs","",1
"get woke, go broke","",1
"go fash, lose cash","",1
"go woke, go broke","",1
good things come in threes,"",1
he who denied it supplied it,"",1
he who loves the world as his body may be entrusted with the empire,"",1
he who makes a beast out of himself gets rid of the pain of being a man,"",1
he who said the rhyme did the crime,"",1
he who smelt it dealt it,"",1
here we are,"",1
hoes before bros,"",1
hydrate or diedrate,"",1
"i before e, except after c","",1
iar,"",1
"if there's grass on the field, play ball","",1
"if there's grass on the pitch, play ball","",1
"if there's grass on the wicket, let's play cricket","",1
"if you go far enough left, you get your guns back","",1
ignore all rules,"",1
it is on,"",1
it wasn't only only,"",1
iura novit curia,"",1
knee-high by the fourth of july,"",1
"leaves of three, let it be","",1
lex dubia non obligat,"",1
lie back and think of england,"",1
like) trying to grow a goose,"",1
mackerel sky and mare's-tails make lofty ships carry low sails,"",1
mackerel sky and mare's-tails make tall ships carry low sails,"",1
"men get spoiled by staying, women get spoiled by wandering","",1
misters before sisters,"",1
"monday's child is fair of face, tuesday's child is full of grace, wednesday's child is full of woe, thursday's child has far to go, friday's child is loving and giving, saturday's child works hard for its living, and a child that is born on the sabbath day is fair and wise and good and gay","",1
nine tailors make a man,"",1
"nine you're fine, ten you're mine","",1
"no hymen, no diamond","",1
of course my horse,"",1
"old soldiers never die, (they simply/just fade away)","",1
"once you go black, you never go back","",1
one should never meet one's heroes,"",1
only fools and horses work,"",1
ontogeny recapitulates phylogeny,"",1
parsley seed goes nine times to the devil,"",1
"pink sky at night, sailors' delight; pink sky at morning, sailors take warning",إذا كان الغيم أحمر عند الغروب فابشر، وإذا كان أحمر عند الشروق فاحذر,5
"pink sky at night, sailors' delight; pink sky in the morning, sailors take warning",إذا كان الغيم أحمر عند الغروب فابشر، وإذا كان أحمر عند الشروق فاحذر,5
proverbs come in pairs,الأمثال أزواج,6
proverbs go in pairs,الأمثال أزواج,6
proverbs hunt in pairs,الأمثال أزواج,6
proverbs often come in pairs,الأمثال أزواج,6
proverbs run in pairs,الأمثال أزواج,6
proverbs should be sold in pairs,الأمثال أزواج,6
proverbs should be writ in pairs,الأمثال أزواج,6
proverbs should come in pairs,الأمثال أزواج,6
proverbs should go in pairs,الأمثال أزواج,6
quidquid latine dictum sit altum videtur,كل ما غمض معناه عظم قدره,7
real men don't eat quiche,الرجال ما يهمهم الأكل بقدر ما تهمهم الأفعال,3
scratch a liberal and a fascist bleeds,"",1
scratch a liberal and you'll find a fascist,"",1
"sell in may, then go away","",1
"sell in may, then stay away","",1
semper ubi sub ubi,"",1
smooth move,"",1
sore boob means more boob,"",1
spitters are quitters,"",1
the exception which proves the rule,لكل قاعدة شواذ,10
the first turn of the screw pays all debts,"",1
the fucking you get isn't worth the fucking you get,الضرب في الميت حرام,3
the fucking you get isn't worth the fucking you take,الضرب في الميت حرام,3
the fucking you get isn't worth the fucking you're going to get,الضرب في الميت حرام,3
"the odds are good, but the goods are odd",العدد في الليمون,4
the old wooden spoon beats me down,"",1
the screwing you get isn't worth the screwing you get,الضرب في الميت حرام,3
the screwing you get isn't worth the screwing you take,الضرب في الميت حرام,3
the screwing you get isn't worth the screwing you're going to get,الضرب في الميت حرام,3
the world is one's lobster,الدنيا قدّامك,4
"those who can't do, teach",اللي ما يقدر على الحمار يتشطر على البردعة,3
time goes by slowly when you are living intensely,ساعة فرح تعدل سنة,5
tokens get spent,"",1
treat 'em mean to keep 'em keen,من عزّ بزّ,6
"treat 'em mean, keep 'em keen",من عزّ بزّ,6
"treat them mean, keep them keen",من عزّ بزّ,6
what is the worst that can happen,ما في أسوأ من هيك,6
"when the oak is before the ash, then you will only get a splash; when the ash is before the oak, then you may expect a soak","",1
whoever smelt it dealt it,رمتني بدائها وانسلت,7
why buy a book when you can join a library,"",1
why buy the cow when you can get the milk for free,ليش يشتري البقرة والحليب ببلاش,8
woman is the root of both good and evil,المرأة نصف المجتمع وهي التي تلد النصف الآخر,4
wrap it before you tap it,"",1
y'all means all,الكل يعني الكل,5
you can't turn a hoe into a housewife,"",1
you don't dip your pen in the inkwell,"",1
"you smelt it, you dealt it",رمتني بدائها وانسلت,7
