en,fr,confidence
the female of the species is more deadly than the male,La femme est l’avenir de l’homme,3
the freaks come out at night,"La nuit, tous les chats sont gris",5
the grey mare is the better horse,C’est madame qui porte la culotte,9
the highest branch is not the safest roost,"Plus on monte haut, plus la chute est dure",8
the moon is made of green cheese,Ce ne sont que des histoires à dormir debout,7
"the more one learns about people, the more one likes one's pet","Plus je connais les hommes, plus j’aime mon chien",10
the only way to understand a woman is to love her,On ne voit bien qu’avec le cœur,5
the revolution will not be televised,La révolution ne passera pas à la télé,6
the second mouse gets the cheese,"Rien ne sert de courir, il faut partir à point",5
the strong do what they can and the weak suffer what they must,La loi du plus fort est toujours la meilleure,10
"the strong do what they can, the weak suffer what they must",La loi du plus fort est toujours la meilleure,10
the world is one's lobster,Le monde est à toi,6
there are more horses' asses than horses,Il y a plus de cons que de gens,7
there is no such thing as bad press,"qu’on en parle en bien ou en mal, l’important c’est qu’on en parle",9
there is nothing more permanent than a temporary solution,il n’y a rien de plus définitif que le provisoire,10
there may be snow on the mountaintop but there's fire in the valley,il peut y avoir de la neige sur le toit mais du feu dans la cheminée,7
there may be snow on the rooftop but there is fire in the furnace,il peut y avoir de la neige sur le toit mais du feu dans la cheminée,8
there's no business like show business,il n’y a pas de métier comme le spectacle,5
"those who can't do, teach",ceux qui ne savent pas faire enseignent,6
time and tide,le temps et la marée n’attendent personne,9
to learn a language is to have one more window from which to look at the world,"autant de langues on parle, autant de fois on est homme",8
truth is more valuable if it takes you a few years to find it,toute vérité n’est pas bonne à dire,3
turn your face toward the sun and the shadows fall behind you,"après la pluie, le beau temps",4
two wrongs make a right,ce n’est pas en ajoutant une faute à une autre qu’on fait un droit,6
wanton kittens make sober cats,"jeunesse folle, vieillesse triste",8
watched toast never burns,une marmite surveillée ne bout jamais,9
what the eye does not see,"loin des yeux, loin du cœur",4
what wins on sunday sells on monday,ce qui gagne le dimanche se vend le lundi,5
"when you hear hoofbeats, look for horses, not zebras",la solution la plus simple est souvent la meilleure,8
"when you hear hoofbeats, think horses, not zebras",la solution la plus simple est souvent la meilleure,9
"when you hear hoofbeats, think of horses, not zebras",la solution la plus simple est souvent la meilleure,9
"when you're up to your neck in alligators, it's hard to remember that your initial objective was to drain the swamp",on ne voit pas plus loin que le bout de son nez,4
where there is a will,"vouloir, c’est pouvoir",10
why buy the cow when you can get the milk for free,pourquoi acheter la vache quand on a le lait gratuit,6
"win on sunday, sell on monday",ce qui gagne le dimanche se vend le lundi,6
"wins on sunday, sells on monday","Vendre, c’est vanter",3
wrap it before you tap it,Mieux vaut prévenir que guérir,6
you can't fix stupid,On ne fait pas d’un âne un cheval de course,8
you can't go home again,On ne revient jamais au temps passé,7
"you can't live with 'em, you can't live without 'em","Avec eux c’est un mal, sans eux c’est un autre",6
"you can't live with them, you can't live without them","Avec eux c’est un mal, sans eux c’est un autre",6
you cannot push a rope,On ne fait pas boire un âne qui n’a pas soif,8
you don't dip your pen in company ink,On ne mélange pas travail et plaisir,7
you don't dip your pen in the company's ink,On ne mélange pas travail et plaisir,7
you don't dip your pen in the inkwell,On ne mélange pas travail et plaisir,6
you don't fish off the company pier,On ne mélange pas travail et plaisir,7
you must spoil before you spin,C’est en forgeant qu’on devient forgeron,9
your net worth is your network,"Les amis, c’est la richesse",6
your network is your net worth,"Les amis, c’est la richesse",6
your vibe attracts your tribe,Qui se ressemble s’assemble,10
zeal without knowledge is fire without light,Science sans conscience n’est que ruine de l’âme,8
a language is a dialect with an army and navy,"Une langue, c’est un dialecte qui a une armée et une marine",3
a man can do what he wills but he cannot will what he wills,"",1
a revolution is not a dinner party,On ne fait pas d’omelette sans casser des œufs,6
a watched man never plays,"",1
a) swarm in may is worth a load of hay; a swarm in june is worth a silver spoon; but a swarm in july is not worth a fly,"À la Sainte-Catherine, tout bois prend racine",2
absence makes the heart go yonder,"",1
all things excellent are as difficult as they are rare,On n’a rien sans peine,7
another day in paradise,C’est le paradis sur terre,4
another happy landing,"",1
any hole's a goal,"",1
ask my companion if i be a thief,"",1
bad facts make bad law,"",1
"beer before liquor, never been sicker; liquor before beer, you're in the clear","Bière sur vin, ça ne vaut rien; vin sur bière, c’est la manière",9
being poor is a mindset,"",1
being poor is a state of mind,"",1
believing is seeing,"Loin des yeux, loin du cœur",1
better dead than red,"",1
"bi now, gay later","",1
buy the same horse twice,"",1
claret would be port if it could,"",1
"courage is the measure of a man, beauty is the measure of a woman","",1
criss-cross applesauce,"",1
do not sympathize with those who can not empathize,"",1
does macy's tell gimbel's,"",1
don't drop the soap,"",1
ecree,"",1
"february fill dyke, be it black or be it white","Février, le plus court des mois, est de tous le pire à la fois",6
"feed a cold, starve a fever","",1
"gender is between your ears, not between your legs","",1
"get woke, go broke","",1
"go fash, lose cash","",1
"go woke, go broke","",1
"he who can, does; he who cannot, teaches","",1
he who denied it supplied it,"",1
he who makes a beast out of himself gets rid of the pain of being a man,"",1
he who smelt it dealt it,"",1
hoes before bros,"",1
hydrate or diedrate,"",1
"i before e, except after c","",1
iar,"",1
"if there's grass on the field, play ball","",1
"if there's grass on the pitch, play ball","",1
"if there's grass on the wicket, let's play cricket","",1
"if you go far enough left, you get your guns back","",1
it took nixon to go to china,"",1
it wasn't only only,"",1
iura novit curia,"",1
knee-high by the fourth of july,"",1
late lunch makes day go faster,"",1
"leaves of three, let it be","",1
lex dubia non obligat,"",1
lie back and think of england,"Fais ce que tu dois, advienne que pourra",4
like) trying to grow a goose,"",1
"long ways, long lies","",1
love the sinner but hate the sin,"Haïs le péché, aime le pécheur",8
"love the sinner, hate the sin","Haïs le péché, aime le pécheur",8
"men get spoiled by staying, women get spoiled by wandering","",1
milking the bull,"",1
misters before sisters,"",1
"monday's child is fair of face, tuesday's child is full of grace, wednesday's child is full of woe, thursday's child has far to go, friday's child is loving and giving, saturday's child works hard for its living, and a child that is born on the sabbath day is fair and wise and good and gay","",1
"money talks, wealth whispers","",1
money won is twice as sweet as money earned,"",1
nearly never bulled a cow,"",1
never fight a land war in asia,On ne fait pas la guerre sans connaître le terrain,4
nine tailors make a man,"",1
"nine you're fine, ten you're mine","",1
no friends but the mountains,"",1
"no hymen, no diamond","",1
no one ever went broke underestimating the intelligence of the american public,"",1
no one ever went broke underestimating the taste of the american people,"",1
no one ever went broke underestimating the taste of the american public,"",1
nobody ever went broke underestimating the good taste of the american people,"",1
of course my horse,"",1
"once you go black, you never go back","",1
"one night with venus, a lifetime with mercury","",1
only fools and horses work,"",1
only nixon can go to china,"",1
only nixon could go to china,"",1
ontogeny recapitulates phylogeny,"",1
parsley seed goes nine times to the devil,"",1
proverbs come in pairs,"",1
proverbs go in pairs,"",1
proverbs hunt in pairs,"",1
proverbs often come in pairs,"",1
proverbs run in pairs,"",1
proverbs should be sold in pairs,"",1
proverbs should be writ in pairs,"",1
proverbs should come in pairs,"",1
proverbs should go in pairs,"",1
put one's hand to the plough,se mettre à l’ouvrage,7
put your best foot forward,donner le meilleur de soi-même,8
put your money where your mouth is,joindre le geste à la parole,9
putting the cart before the horse,mettre la charrue avant les bœufs,10
quidquid latine dictum sit altum videtur,"l’important, c’est d’en mettre plein la vue",5
"race on sunday, sell on monday","gagner le dimanche, vendre le lundi",3
rain does not fall on one roof alone,le malheur n’épargne personne,7
"ready, fire, aim","tirer d’abord, réfléchir ensuite",6
real men don't eat quiche,"",1
reason is the slave of passion,le cœur a ses raisons que la raison ne connaît point,9
"red sky at night shepherd's delight; red sky in the morning, shepherd's warning","ciel rouge le soir, laisse bon espoir ; ciel rouge le matin, pluie en chemin",8
"red sky at night, sailors' delight; red sky at morn, sailors forlorn","ciel rouge le soir, laisse bon espoir ; ciel rouge le matin, pluie en chemin",8
"red sky at night, sailors' delight; red sky at morning, sailors take warning","ciel rouge le soir, laisse bon espoir ; ciel rouge le matin, pluie en chemin",8
"red sky at night, sailors' delight; red sky in the morn, sailors forlorn","ciel rouge le soir, laisse bon espoir ; ciel rouge le matin, pluie en chemin",8
"red sky at night, shepherds' delight; red sky at morning, shepherds' warning","ciel rouge le soir, laisse bon espoir ; ciel rouge le matin, pluie en chemin",8
"red sky at night, shepherds' delight; red sky in the morning, shepherds' warning","ciel rouge le soir, laisse bon espoir ; ciel rouge le matin, pluie en chemin",8
render unto caesar the things which are caesar's,rendre à César ce qui est à César,10
"repetition, repetition, repetition",c’est en forgeant qu’on devient forgeron,6
"respect is not given, it is earned","le respect, ça se mérite",9
revenge is a dish best served cold,la vengeance est un plat qui se mange froid,10
revenge is sweet,la vengeance est douce,7
revolutions are not made with rosewater,on ne fait pas d’omelette sans casser des œufs,7
scratch a liberal and a fascist bleeds,"",1
scratch a liberal and you'll find a fascist,"",1
"see a pin and pick it up, all the day you will have good luck; see a pin and let it lay, bad luck you will have all day",trouver une pièce porte bonheur,3
"sell in may, then go away","",1
"sell in may, then stay away","",1
semper ubi sub ubi,"",1
silence is oppression,qui ne dit mot consent,6
sisters before misters,les copines avant les copains,7
sit crooked and talk straight,"assis de travers, mais parle droit",4
"slow is smooth, smooth is fast",Qui veut voyager loin ménage sa monture,7
snitches get stitches and end up in ditches,"Balance un jour, balance toujours",4
snitches get stitches and wind up in ditches,"Balance un jour, balance toujours",4
sore boob means more boob,"",1
spitters are quitters,"",1
the first turn of the screw pays all debts,"",1
the fucking you get isn't worth the fucking you get,"",1
the fucking you get isn't worth the fucking you take,"",1
the fucking you get isn't worth the fucking you're going to get,"",1
the longest pole knocks the persimmon,"",1
"the odds are good, but the goods are odd","",1
the old wooden spoon beats me down,"",1
the screwing you get isn't worth the screwing you get,"",1
the screwing you get isn't worth the screwing you take,"",1
the screwing you get isn't worth the screwing you're going to get,"",1
the stupid monkey knows not to eat the banana skin,Même un âne ne trébuche pas deux fois sur la même pierre,6
there is reason in the roasting of eggs,Il n’y a pas de fumée sans feu,5
they hate us 'cause they ain't us,La jalousie est un vilain défaut,7
they'll do it every time,"Chassez le naturel, il revient au galop",8
time goes by slowly when you are living intensely,Le temps dure longtemps pour qui sait en profiter,4
to be worn out is to be renewed,"Qui ne s’use pas, s’abuse",3
today is a good day to die,À la guerre comme à la guerre,3
tokens get spent,"",1
treat 'em mean to keep 'em keen,"Fuis-moi je te suis, suis-moi je te fuis",9
"treat 'em mean, keep 'em keen","Fuis-moi je te suis, suis-moi je te fuis",9
"treat them mean, keep them keen","Fuis-moi je te suis, suis-moi je te fuis",9
what is the worst that can happen,"",1
"when the oak is before the ash, then you will only get a splash; when the ash is before the oak, then you may expect a soak","Arc-en-ciel le matin, du marin prends la main",2
where there is muck there is brass,L’argent n’a pas d’odeur,7
where there's muck there's brass,L’argent n’a pas d’odeur,7
where there's no sense there's no feeling,Bon chien chasse de race,2
whoever smelt it dealt it,"",1
why buy a book when you can join a library,Pourquoi acheter la vache quand on a le lait gratis,6
winning is a great deodorant,La victoire efface tout,8
woman is the root of both good and evil,La femme est l’avenir de l’homme,3
y'all means all,"",1
you can't turn a hoe into a housewife,"",1
"you smelt it, you dealt it","",1
"your face, your fate",Chacun est l’artisan de son destin,5
