en,fa,confidence
"hate the game, not the player",از بازی بدت می‌آد، نه از بازیکن,6
haters gonna hate,حرف مردم که تمومی نداره,9
"he who can, does; he who cannot, teaches","",1
he who denied it supplied it,"",1
he who loves the world as his body may be entrusted with the empire,"",1
he who makes a beast out of himself gets rid of the pain of being a man,"",1
he who said the rhyme did the crime,"",1
he who smelt it dealt it,"",1
here we are,"",1
"hic rhodus, hic salta",دو صد گفته چون نیم کردار نیست,7
hoes before bros,"",1
home is where you hang your hat,هر جا دلت شاد است، همان‌جاست وطن,7
"horses, not zebras",اسب را گم کرده، دنبال نعلش می‌گردد,3
how long is a piece of string,جوابِ سربالا، سنگِ زیرِ پا,3
"hunger never knows the taste, sleep never knows the comfort",سیر از گرسنه خبر نداره، سیر از گرسنه بی‌خبره,6
hunt where the ducks are,جایی برو که نونت توی روغنه,5
hydrate or diedrate,"",1
"i before e, except after c","",1
i'm going to have to give you the pink slip,مجبورم اخراجت کنم,5
iar,"",1
if it looks like a duck,از کوزه همان برون تراود که در اوست,9
"if there's grass on the field, play ball","",1
"if there's grass on the pitch, play ball","",1
"if there's grass on the wicket, let's play cricket","",1
"if you can't live longer, live deeper",کمیت مهم نیست، کیفیت مهم است,6
"if you go far enough left, you get your guns back","",1
"if you have never seen the bottom of the tree, you cannot know how tall it stands",تا تهِ راه نری، بلندی و پستی‌شو نمی‌فهمی,4
"if you steal from one author, it is plagiarism; if you steal from many, it is research","",1
"if you torture the data long enough, it will confess to anything","",1
ignore all rules,"",1
"in like a lion, out like a lamb",از آن شور و شر، این سکوت و قرار,4
"in the midst of life, we are in death",از درِ خانه تا درِ گور یک قدم است,7
"islands depend on reeds, just as reeds depend on islands",یک دست صدا ندارد,8
"it ain't the meat, it's the motion",مهم کیفیت کار است نه کمیتش,5
it ain't the whistle that pulls the train,سگ که پارس می‌کند، کاروان که نمی‌ایستد,4
it doesn't matter what they say about you as long as they spell your name right,بدنامی بهتر از گمنامی است,9
it is a wise child that knows his own father,هر که بامش بیش، برفش بیشتر,2
"it is better to cultivate a land with two bulls, rather working under boss who never gives wage when asked",نوکری نان ندارد، کلفتی جان ندارد,6
it is better to have loved and lost than never to have loved at all,عاشقی گر زین سر و گر زان سر است عاقبت ما را بدان سر رهبر است,6
it is better to travel hopefully than to arrive,لذت راه رفتن در خود راه است نه در رسیدن,4
it is easier for a camel to go through the eye of a needle than for a rich man to enter into the kingdom of god,شتر از سوراخ سوزن رد شود، بعضی‌ها از درِ بهشت نه,3
it is like juggling sand,مثل باد در غربال است,7
it is on,"",1
it pays to advertise,از تو حرکت، از خدا برکت,3
it took nixon to go to china,"",1
it wasn't only only,"",1
it's an ill wind,باد بی‌حساب نمی‌وزد,3
it's better to ask forgiveness than permission,اول کار را بکن، بعد عذرخواهی کن,3
it's better to be judged by twelve than to be carried by six,"",1
it's easier to ask forgiveness than to get permission,اول کار را بکن، بعد عذرخواهی کن,4
"it's not the meat, it's the motion",مهم کیفیت کار است نه کمیتش,5
it's not the whistle that pulls the train,سگ که پارس می‌کند، کاروان که نمی‌ایستد,4
iura novit curia,"",1
joan's as good as my lady in the dark,شب که می‌شود، سیاه و سفید یکی است,6
knee-high by the fourth of july,"",1
late lunch makes day go faster,"",1
"leaves of three, let it be","",1
let george do it,بگذار کار را گردن دیگری بیندازیم,3
let sleeping aussies lie,چوب تو لانه زنبور نکن,7
lex dubia non obligat,"",1
lie back and think of england,"",1
like) trying to grow a goose,"",1
"long ways, long lies",هر چه راه دورتر، دروغ بزرگ‌تر,4
loss and gain are brothers twain,برد و باخت دو روی یک سکه‌اند,7
love cannot be forced,محبت اجباری نمی‌شود,9
love conquers all,عشق بر همه چیز غالب است,6
love is blind,عشق کور و کر است,10
love is love,عشق، عشق است,5
love makes the world go around,دنیا به عشق می‌چرخد,6
love of money is the root of all evil,پول دوستی ریشه همه بدی‌هاست,7
love the sinner but hate the sin,از گناه بیزار باش نه از گناهکار,9
"love the sinner, hate the sin",از گناه بیزار باش نه از گناهکار,9
love will find a way,عشق راه خودش را پیدا می‌کند,7
"lucky at cards, unlucky in love",یکی نان دارد یکی جان,6
mackerel sky and mare's-tails make lofty ships carry low sails,"",1
mackerel sky and mare's-tails make tall ships carry low sails,"",1
make hay while the sun shines,تا تنور داغه نون را بچسبان,10
make it do or do without,یا رومی روم یا زنگی زنگ,5
make lemonade,"",1
make love not war,صلح بهتر از جنگ است,6
man does not live by bread alone,آدمیزاد فقط با نان سیر نمی‌شود,7
man is a wolf to man,انسان گرگ انسان است,6
man plans and god laughs,بنده نقشه می‌کشد، خدا می‌خندد,7
"man proposes, god disposes",تقدیر بالاتر از تدبیر است,8
"man proposes, heaven disposes",تقدیر بالاتر از تدبیر است,8
man shall not live by bread alone,آدمیزاد فقط با نان سیر نمی‌شود,7
"man thinks, god laughs",بنده نقشه می‌کشد، خدا می‌خندد,7
manners maketh man,آدم به ادبش است نه به لباسش,9
many a little makes a mickle,قطره قطره جمع گردد وانگهی دریا شود,10
many a mickle makes a muckle,قطره قطره جمع گردد وانگهی دریا شود,10
many a true word is spoken in jest,شوخی شوخی هم حرف جدی می‌زنند,7
many hands make light work,یک دست صدا ندارد,9
march comes in like a lion and goes out like a lamb,"",1
marriages are made in heaven,قسمت را آسمان می‌نویسد,8
"marry in haste, repent at leisure",عجله در ازدواج پشیمانی می‌آورد,6
measure twice and cut once,کار را دوبار بسنج بعد یک‌بار انجام بده,5
"measure twice, cut once",کار را دوبار بسنج بعد یک‌بار انجام بده,5
memory is the treasure of the mind,"",1
men are blind in their own cause,کسی عیب خود را نمی‌بیند,9
"men get spoiled by staying, women get spoiled by wandering","",1
mess with the bull and you get the horns,با دم شیر بازی نکن,9
"mess with the bull, get the horns",با دم شیر بازی نکن,9
might is right,حق با کسی است که زور دارد,7
milking the bull,"",1
misters before sisters,"",1
mocking is catching,"",1
"monday's child is fair of face, tuesday's child is full of grace, wednesday's child is full of woe, thursday's child has far to go, friday's child is loving and giving, saturday's child works hard for its living, and a child that is born on the sabbath day is fair and wise and good and gay","",1
"money talks, wealth whispers","",1
money won is twice as sweet as money earned,"",1
music has charms to soothe the savage beast,آواز، وحشی را هم رام می‌کند,5
nature abhors a vacuum,جای خالی نمی‌مونه,6
nature does not do anything in vain,هیچ‌چیز تو این دنیا بی‌حکمت نیست,9
nearly never bulled a cow,"",1
never fight a land war in asia,"",1
never give a sucker an even break,گوشِ کَس رو نَبر، خودش باید حواسش جمع باشه,3
never let the truth get in the way of a good story,تعریف که می‌کنی، نمکشم بزن,4
never meet your heroes,بزرگش نکن که پیشت کوچیک نشه,6
"never reveal a man's wage, and woman's age",سن زن و جیب مرد رو نباید پرسید,8
never waste a crisis,از آب گل‌آلود ماهی بگیر,9
nine tailors make a man,"",1
"nine you're fine, ten you're mine","",1
"no bucks, no buck rogers",بی‌مزد نمی‌کنم,6
no friends but the mountains,"",1
"no hymen, no diamond","",1
"no names, no pack-drill",اسم نبر تا دردسر نشه,5
no one ever went broke underestimating the intelligence of the american public,هیچ‌کس از دستِ ساده‌لوحی مردم ضرر نکرده,4
no one ever went broke underestimating the taste of the american people,هیچ‌کس از بی‌سلیقگی مردم ضرر نکرده,4
no one ever went broke underestimating the taste of the american public,هیچ‌کس از بی‌سلیقگی مردم ضرر نکرده,4
nobody ever went broke underestimating the good taste of the american people,هیچ‌کس از بی‌سلیقگی مردم ضرر نکرده,4
nobody ever went broke underestimating the good taste of the american public,هیچ‌کس از بی‌سلیقگی مردم ضرر نکرده,4
nobody ever went broke underestimating the intelligence of the american people,هیچ‌کس از دستِ ساده‌لوحی مردم ضرر نکرده,4
nobody ever went broke underestimating the intelligence of the american public,هیچ‌کس از دستِ ساده‌لوحی مردم ضرر نکرده,4
nobody ever went broke underestimating the taste of the american people,هیچ‌کس از بی‌سلیقگی مردم ضرر نکرده,4
nobody ever went broke underestimating the taste of the american public,هیچ‌کس از بی‌سلیقگی مردم ضرر نکرده,4
of course my horse,"",1
"old soldiers never die, (they simply/just fade away)",پیر سرباز نمی‌میره، از نفس می‌افته,3
on the internet nobody knows you're a dog,پشتِ مانیتور کسی تو رو نمی‌شناسه,4
"on the internet, nobody knows you're a dog",پشتِ مانیتور کسی تو رو نمی‌شناسه,4
"once a(n) _, always a(n",کسی که ذاتش اینه، عوض نمی‌شه,5
"once you go black, you never go back","",1
"one can't live with them, one can't live without them",نه باهاش می‌شه، نه بی‌ـش می‌شه,8
"one night with venus, a lifetime with mercury","",1
one should never meet one's heroes,بزرگش نکن که پیشت کوچیک نشه,6
one year's seeding makes seven years weeding,یه روز غفلت، هفت سال زحمت,5
one's time is one's own,وقتِ آدم مال خودشه,4
only fools and horses work,کار مالِ گاو و الاغه,6
only nixon can go to china,فقط ریش‌سفید می‌تونه پا درمیونی کنه,3
only nixon could go to china,فقط ریش‌سفید می‌تونه پا درمیونی کنه,3
only the good die young,خوب‌ها رو خدا زود می‌بره,9
ontogeny recapitulates phylogeny,"",1
opinions are like assholes,هر کسی ساز خودش را می‌زند,6
opportunity does not knock until you build a door,نابرده رنج گنج میسر نمی‌شود,8
parsley seed goes nine times to the devil,"",1
"pink sky at night, sailors' delight; pink sky at morning, sailors take warning","",1
"pink sky at night, sailors' delight; pink sky in the morning, sailors take warning","",1
poor is a mindset,توانگر کسی باشد که خرسند است,7
poor is a state of mind,توانگر کسی باشد که خرسند است,7
poorness is a state of mind,توانگر کسی باشد که خرسند است,7
poverty is a mindset,توانگر کسی باشد که خرسند است,7
poverty is a state of mind,توانگر کسی باشد که خرسند است,7
prevention is better than cure,پیشگیری بهتر از درمان است,10
pride comes before a fall,غرور آفت عقل است,8
pride comes before the fall,غرور آفت عقل است,8
pride comes/goes before a fall,غرور آفت عقل است,8
pride cometh before a fall,غرور آفت عقل است,8
pride goes before a fall,غرور آفت عقل است,8
pride goeth before a fall,غرور آفت عقل است,8
pride wenteth before a fall,غرور آفت عقل است,8
procrastination is the thief of time,کار امروز را به فردا مینداز,10
proverbs come in pairs,"",1
proverbs go in pairs,"",1
proverbs hunt in pairs,"",1
proverbs often come in pairs,"",1
proverbs run in pairs,"",1
proverbs should be sold in pairs,"",1
proverbs should be writ in pairs,"",1
proverbs should come in pairs,"",1
proverbs should go in pairs,"",1
put one's hand to the plough,آستین بالا زدن,8
put your best foot forward,سنگ تمام گذاشتن,8
put your money where your mouth is,مرد عمل باش نه حرف,7
putting the cart before the horse,ارابه را جلوی اسب بستن,6
quidquid latine dictum sit altum videtur,"",1
"race on sunday, sell on monday","",1
rain does not fall on one roof alone,باران که می‌بارد بر همه می‌بارد,7
"ready, fire, aim",اول فکر، بعد عمل,8
real men don't eat quiche,"",1
reason is the slave of passion,عشق عقل و هوش را می‌برد,7
"red sky at night shepherd's delight; red sky in the morning, shepherd's warning","",1
"red sky at night, sailors' delight; red sky at morn, sailors forlorn","",1
"red sky at night, sailors' delight; red sky at morning, sailors take warning","",1
"red sky at night, sailors' delight; red sky in the morn, sailors forlorn","",1
"red sky at night, shepherds' delight; red sky at morning, shepherds' warning","",1
"red sky at night, shepherds' delight; red sky in the morning, shepherds' warning","",1
render unto caesar the things which are caesar's,کار را باید به کاردان سپرد,6
"repetition, repetition, repetition",کار نیکو کردن از پر کردن است,9
"respect is not given, it is earned",احترام خریدنی است نه دادنی,8
revenge is a dish best served cold,انتقام غذای سرد است,3
revenge is sweet,انتقام شیرین است,7
revolutions are not made with rosewater,نابرده رنج گنج میسر نمی‌شود,6
rome wasn't burned in a day,روم در یک روز ساخته نشد,4
scratch a liberal and a fascist bleeds,"",1
scratch a liberal and you'll find a fascist,"",1
"see a pin and pick it up, all the day you will have good luck; see a pin and let it lay, bad luck you will have all day","",1
"sell in may, then go away","",1
"sell in may, then stay away","",1
semper ubi sub ubi,"",1
sex sells,"",1
silence is oppression,"",1
sisters before misters,"",1
"slow is smooth, smooth is fast",کار را که کرد؟ آن‌که تمام کرد,4
small rain lays great dust,"",1
smooth move,"",1
snitches get stitches,"",1
snitches get stitches and end up in ditches,"",1
snitches get stitches and wind up in ditches,"",1
so far so bad,"",1
sometimes we are the student. sometimes we are the master. and sometimes we are merely the lesson,"",1
sore boob means more boob,"",1
speak softly and carry a big stick,آرام باش اما محکم,3
spitters are quitters,"",1
"sticks and stones may break my bones, but words will never hurt me","",1
success is a great deodorant,"",1
"talk of angels, and hear the flutter of their wings",حرفِ دیو را بزن، حاضر می‌شود,7
talk softly and carry a big stick,آرام باش اما محکم,3
tell its own story,خودش گویای همه‌چیز است,6
that which has been seen cannot be unseen,چیزی که دیده شد، ندیده نمی‌شود,4
the best condiments are authentic flavors,اصل، خودِ غذاست نه چاشنی,3
the best things in life aren't things,بهترین چیزهای زندگی، چیز نیستند,3
the comeback is greater than the setback,بازگشت، از شکست بزرگ‌تر است,2
the devil looks after his own,خدا خر را می‌شناسد به او شاخ نمی‌دهد,7
the devil takes care of his own,خدا خر را می‌شناسد به او شاخ نمی‌دهد,7
the devil you know,دیوی که می‌شناسی بهتر از فرشته‌ای‌ست که نمی‌شناسی,10
the dose makes the poison,هر چیزی اگر از حد بگذرد، ضد خودش می‌شود,8
the exception which proves the rule,"",1
the eyes are the window to the soul,چشم، آیینهٔ دل است,10
the family that prays together stays together,خانواده‌ای که با هم باشد، می‌ماند,3
the female of the species is more deadly than the male,زن اگر بخواهد، از صد مرد کاردرست‌تر است,4
the first turn of the screw pays all debts,"",1
the freaks come out at night,شب، هزار تا قصه دارد,3
the fucking you get isn't worth the fucking you get,"",1
the fucking you get isn't worth the fucking you take,"",1
the fucking you get isn't worth the fucking you're going to get,"",1
the grey mare is the better horse,زن کدخدا، کدخداست,7
the highest branch is not the safest roost,هر که بامش بیش، برفش بیشتر,6
the house always wins,آخرش کازینو برنده است,5
the husband is always the last to know,شوهر همیشه از همه دیرتر خبردار می‌شود,4
the internet never forgets,اینترنت هیچ‌چیز را فراموش نمی‌کند,6
the law is a ass,"",1
the law is an arse,"",1
the law is an ass,"",1
the longest pole knocks the persimmon,"",1
the map is not the territory,نقشه، خودِ راه نیست,5
the moon is made of green cheese,ماه را هم پنیر می‌بیند,3
"the more one learns about people, the more one likes one's pet",هر چه آدم‌ها را بیشتر می‌شناسی، حیوان‌ها را بیشتر دوست داری,4
"the odds are good, but the goods are odd","",1
the old wooden spoon beats me down,"",1
the only way to understand a woman is to love her,زن را باید با دل فهمید نه با عقل,4
the revolution will not be televised,انقلاب از تلویزیون پخش نمی‌شود,5
the screwing you get isn't worth the screwing you get,"",1
the screwing you get isn't worth the screwing you take,"",1
the screwing you get isn't worth the screwing you're going to get,"",1
the second mouse gets the cheese,موش دوم پنیر را می‌خورد,4
the stupid monkey knows not to eat the banana skin,"",1
the whistle does not pull the train,سوت، قطار را نمی‌کشد,4
the whistle doesn't pull the train,سوت، قطار را نمی‌کشد,4
the world is one's lobster,"",1
there are more horses' asses than horses,"",1
there is no such thing as bad press,هیچ تبلیغی بد نیست,6
there is no such thing as bad publicity,هیچ تبلیغی بد نیست,8
"there is no such thing as bad weather, only bad clothing",هوای بد وجود نداره، لباس بد وجود داره,6
there is nothing more permanent than a temporary solution,هیچ چیز موقتی‌ای به اندازهٔ راه‌حل موقت دوام نداره,5
there is reason in the roasting of eggs,"",1
there may be snow on the mountaintop but there's fire in the valley,برف رو سرشه، آتیش تو دلشه,7
there may be snow on the rooftop but there is fire in the furnace,برف رو سرشه، آتیش تو دلشه,7
there's no business like show business,"",1
there's nowt so queer as folk,آدمیزاد رو نشناسی,6
they'll do it every time,"",1
"those who can't do, teach","",1
those who know many languages live as many lives as the languages they know,چند زبان بدانی، چند جان داری,6
those who say it cannot be done should not interrupt those doing it,نمی‌شه نداریم، نمی‌خوام داریم,4
time and tide,وقت و tide منتظر کسی نمی‌مونه,2
time goes by slowly when you are living intensely,"",1
time spent laughing is time spent with the gods,خنده بر هر درد بی‌درمان دواست,8
to be worn out is to be renewed,کهنه که شد نو می‌شه,3
to learn a language is to have one more window from which to look at the world,هر زبانی یک دنیای جدیده,5
tokens get spent,"",1
treat 'em mean to keep 'em keen,"",1
"treat 'em mean, keep 'em keen","",1
"treat them mean, keep them keen","",1
two wrongs make a right,دو تا منفی مثبت نمی‌شه,7
wanton kittens make sober cats,"",1
watched toast never burns,قابلمهٔ زیر نظر جوش نمیاد,4
what is the worst that can happen,بدتر از این هم مگه می‌شه,4
what the eye does not see,از دل برود هر آن‌که از دیده برفت,8
what wins on sunday sells on monday,هر چی تو میدون ببره تو بازار می‌فروشه,4
"when the oak is before the ash, then you will only get a splash; when the ash is before the oak, then you may expect a soak","",1
where there is a will,خواستن توانستن است,10
where there is muck there is brass,"",1
where there's muck there's brass,"",1
where there's no sense there's no feeling,"",1
whoever smelt it dealt it,"",1
why buy a book when you can join a library,"",1
why buy the cow when you can get the milk for free,"",1
"win on sunday, sell on monday",هر چی تو میدون ببره تو بازار می‌فروشه,4
winning is a great deodorant,"",1
"wins on sunday, sells on monday",هر چی تو میدون ببره تو بازار می‌فروشه,4
woman is the root of both good and evil,"",1
wrap it before you tap it,"",1
y'all means all,"",1
you are what you eat,عقل سالم در بدن سالم است,6
you can't be half pregnant,نمی‌شود هم خدا را خواست هم خرما را,8
you can't go home again,آب رفته به جوی بازنمی‌گردد,8
"you can't live with 'em, you can't live without 'em",نه با تو می‌توانم نه بی‌تو,7
"you can't live with them, you can't live without them",نه با تو می‌توانم نه بی‌تو,7
you can't turn a hoe into a housewife,"",1
you cannot push a rope,از سنگ که آب درنمی‌آید,6
you don't dip your pen in company ink,"",1
you don't dip your pen in the company's ink,"",1
you don't dip your pen in the inkwell,"",1
you don't fish off the company pier,"",1
you don't get your nookie where you get your cookies,"",1
you don't look at the mantelpiece when you poke the fire,اسب را در ده می‌خرند، در خانه سوار می‌شوند,7
you don't look at the mantelpiece when you're poking the fire,اسب را در ده می‌خرند، در خانه سوار می‌شوند,7
you either die a hero or live long enough to see yourself become the villain,یا رومی روم یا زنگی زنگ,4
you must spoil before you spin,تا نباشد چیزکی مردم نگویند چیزها,3
"you smelt it, you dealt it","",1
you're never fully dressed without a smile,لبخند، لباس زیبای انسان است,4
your net worth is your network,بگو با کیان زیستی تا بگویم کیستی,7
your network is your net worth,بگو با کیان زیستی تا بگویم کیستی,7
