en,de,confidence
it takes a whole village to raise a child,"Es braucht ein ganzes Dorf, um ein Kind zu erziehen",9
it's an ill wind,Ein Unglück kommt selten allein,4
it's not the whistle that pulls the train,Nicht die Glocke macht den Kohl fett,4
joan's as good as my lady in the dark,Bei Nacht sind alle Katzen grau,10
kill the goose that lays the golden egg,"Die Kuh schlachten, die man melken will",8
kill two birds with one stone,Zwei Fliegen mit einer Klappe schlagen,10
knock on (or touch) wood,Auf Holz klopfen,9
know thyself,Erkenne dich selbst,10
know which side (one's) bread is buttered,"Wissen, wo man sein Brot gebuttert bekommt",7
knowledge is power,Wissen ist Macht,10
laugh and grow fat,Lachen hält gesund,5
"laugh and the world laughs with you, weep and you weep alone","Geteilte Freude ist doppelte Freude, geteilter Schmerz ist halber Schmerz",5
laughter is the best medicine,Lachen ist die beste Medizin,10
"least said, soonest mended",Weniger ist mehr,4
leave with the one that brought ya,"Man tanzt mit dem, mit dem man gekommen ist",7
leave with the one that brung ya,"Man tanzt mit dem, mit dem man gekommen ist",7
leave with the one that brung you,"Man tanzt mit dem, mit dem man gekommen ist",7
leave with the one what brought ya,"Man tanzt mit dem, mit dem man gekommen ist",7
leave with the one what brought you,"Man tanzt mit dem, mit dem man gekommen ist",7
leave with the one what brung ya,"Man tanzt mit dem, mit dem man gekommen ist",7
leave with the one what brung you,"Man tanzt mit dem, mit dem man gekommen ist",7
leave with the one who brought ya,"Man tanzt mit dem, mit dem man gekommen ist",7
leave with the one who brought you,"Man tanzt mit dem, mit dem man gekommen ist",7
leave with the one who brung ya,"Man tanzt mit dem, mit dem man gekommen ist",7
leave with the one who brung you,"Man tanzt mit dem, mit dem man gekommen ist",7
less is more,Weniger ist mehr,10
let a thousand flowers bloom,Leben und leben lassen,5
let bygones be bygones,Schwamm drüber,10
let george do it,Lass doch andere die Kastanien aus dem Feuer holen,6
let not the sun go down on your wrath,Lass die Sonne nicht über deinem Zorn untergehen,3
let sleeping dogs lie,Schlafende Hunde soll man nicht wecken,10
let the buyer beware,Gekauft wie gesehen,8
let the cat out of the bag,Die Katze aus dem Sack lassen,10
let the cobbler stick to his last,"Schuster, bleib bei deinen Leisten",10
love is love,Liebe ist stärker als alles,4
make it do or do without,Not macht erfinderisch,6
make lemonade,"Wenn dir das Leben Zitronen gibt, mach Limonade daraus",10
mocking is catching,"Wer den Schaden hat, braucht für den Spott nicht zu sorgen",4
money talks and bullshit walks,Geld regiert die Welt,9
"money talks, bullshit walks",Geld regiert die Welt,9
"money talks, wealth whispers",Reichtum kommt leise,3
"move your feet, lose your seat","Wer zu spät kommt, den bestraft das Leben",6
nature does not do anything in vain,Die Natur macht nichts umsonst,3
"never reveal a man's wage, and woman's age",Über Geld spricht man nicht,4
never waste a crisis,Aus der Not eine Tugend machen,7
no friends but the mountains,Ein wahrer Freund ist ein seltener Vogel,4
"no matter how much milk you put in coffee, it's still coffee","Eine Krähe bleibt eine Krähe, auch wenn sie sich wäscht",5
"no matter how much milk you put in tea, it's still tea","Eine Krähe bleibt eine Krähe, auch wenn sie sich wäscht",5
"no names, no pack-drill",Namen sind Schall und Rauch,4
no one ever went broke underestimating the intelligence of the american public,"Niemand ist je verarmt, weil er die Dummheit der Leute unterschätzt hat",6
no one ever went broke underestimating the taste of the american people,Der schlechte Geschmack kommt nie aus der Mode,3
no one ever went broke underestimating the taste of the american public,Der schlechte Geschmack kommt nie aus der Mode,3
nobody ever went broke underestimating the good taste of the american people,Der schlechte Geschmack kommt nie aus der Mode,3
nobody ever went broke underestimating the good taste of the american public,Der schlechte Geschmack kommt nie aus der Mode,3
nobody ever went broke underestimating the intelligence of the american people,"Niemand ist je verarmt, weil er die Dummheit der Leute unterschätzt hat",6
nobody ever went broke underestimating the intelligence of the american public,"Niemand ist je verarmt, weil er die Dummheit der Leute unterschätzt hat",6
nobody ever went broke underestimating the taste of the american people,Der schlechte Geschmack kommt nie aus der Mode,3
nobody ever went broke underestimating the taste of the american public,Der schlechte Geschmack kommt nie aus der Mode,3
old sins have long shadows,Alte Sünden werfen lange Schatten,10
"old soldiers never die, (they simply/just fade away)","Alte Soldaten sterben nie, sie verblassen nur",7
on the internet nobody knows you're a dog,"Im Internet weiß niemand, wer du bist",6
"on the internet, nobody knows you're a dog","Im Internet weiß niemand, wer du bist",6
"once a man, twice a boy","Einmal Mann, zweimal Kind",4
"once a man, twice a child","Einmal Mann, zweimal Kind",5
"once a thief, always a thief","Einmal Dieb, immer Dieb",9
"once a(n) _, always a(n","Einmal so, immer so",5
once an adult and twice a child,"Zweimal Kind, einmal Erwachsener",4
"once an adult, twice a child","Zweimal Kind, einmal Erwachsener",4
"once bitten, twice shy",Gebranntes Kind scheut das Feuer,10
"once burned, twice cautious",Gebranntes Kind scheut das Feuer,10
"once burned, twice shy",Gebranntes Kind scheut das Feuer,10
"once hurt, twice shy",Gebranntes Kind scheut das Feuer,10
"once on shore, we pray no more","Ist die Gefahr vorüber, vergisst man das Gebet",6
one bad apple can spoil the barrel,Ein fauler Apfel verdirbt den ganzen Korb,9
one bad apple can spoil the whole bunch,Ein fauler Apfel verdirbt den ganzen Korb,9
one bad turn deserves another,"Wie du mir, so ich dir",9
one can run but one can't hide,"Man kann laufen, aber sich nicht verstecken",5
one can't break a stick in a bundle,Ein Bündel Stäbe bricht man nicht,4
one can't break a twig in a bundle,Ein Bündel Stäbe bricht man nicht,4
one can't break sticks in a bundle,Ein Bündel Stäbe bricht man nicht,4
one can't carry two watermelons under one arm,Man kann nicht auf zwei Hochzeiten gleichzeitig tanzen,8
one can't hold two watermelons in one hand,Man kann nicht auf zwei Hochzeiten gleichzeitig tanzen,9
"one can't live with them, one can't live without them","Mit ihnen geht’s nicht, ohne sie geht’s auch nicht",9
one cannot break a stick in a bundle,Einigkeit macht stark,8
one cannot break a twig in a bundle,Einigkeit macht stark,8
one good turn deserves another,Eine Hand wäscht die andere,9
one hair of a woman can draw more than a hundred pair of oxen,"Was ein Weib will, das weiß der Teufel nicht",5
one half of the world does not know how the other half lives,"Die eine Hand weiß nicht, was die andere tut",6
one hand can't hold two watermelons,Man kann nicht auf zwei Hochzeiten gleichzeitig tanzen,9
one hand washes the other,Eine Hand wäscht die andere,10
one kind word can warm three winter months,Ein freundliches Wort wärmt mehr als ein Feuerofen,5
one law for the rich and another for the poor,Vor dem Gesetz sind nicht alle gleich,7
one man's fish is another man's poison,Des einen Freud ist des andern Leid,9
one man's fish is another man's poisson,Des einen Freud ist des andern Leid,9
one man's loss is another man's gain,Des einen Leid ist des andern Freud,10
one man's meat is another man's poison,Des einen Freud ist des andern Leid,10
poor is a mindset,Armut beginnt im Kopf,6
poor is a state of mind,Armut beginnt im Kopf,6
poorness is a state of mind,Armut beginnt im Kopf,6
poverty is a mindset,Armut beginnt im Kopf,6
poverty is a state of mind,Armut beginnt im Kopf,6
proverbs come in pairs,Sprichwörter haben ihre Gegenstücke,3
proverbs go in pairs,Sprichwörter haben ihre Gegenstücke,3
proverbs hunt in pairs,Sprichwörter haben ihre Gegenstücke,3
proverbs often come in pairs,Sprichwörter haben ihre Gegenstücke,3
proverbs run in pairs,Sprichwörter haben ihre Gegenstücke,3
proverbs should be sold in pairs,Sprichwörter haben ihre Gegenstücke,3
proverbs should be writ in pairs,Sprichwörter haben ihre Gegenstücke,3
proverbs should come in pairs,Sprichwörter haben ihre Gegenstücke,3
proverbs should go in pairs,Sprichwörter haben ihre Gegenstücke,3
quidquid latine dictum sit altum videtur,Latein macht Eindruck,5
"ready, fire, aim","Erst schießen, dann zielen",6
reason is the slave of passion,Die Vernunft ist die Dienerin der Leidenschaft,4
revolutions are not made with rosewater,"Wo gehobelt wird, da fallen Späne",9
silence is oppression,"Wer schweigt, stimmt zu",7
sisters before misters,Freundschaft geht vor,6
sit crooked and talk straight,Ehrlich währt am längsten,7
small rain lays great dust,Steter Tropfen höhlt den Stein,9
snitches get stitches,Petzen macht einsam,3
"sticks and stones may break my bones, but words will never hurt me",Namen sind Schall und Rauch,6
take the cash and let the credit go,Lieber den Spatz in der Hand als die Taube auf dem Dach,8
"talk of angels, and hear the flutter of their wings","Wenn man vom Teufel spricht, kommt er gelaufen",8
talk softly and carry a big stick,"Leise Töne, harte Fakten",3
tell the truth and shame the devil,Ehrlich währt am längsten,8
that which has been seen cannot be unseen,"Was einmal gesehen ist, vergisst man nicht mehr",5
the best condiments are authentic flavors,Gute Ware braucht keine Reklame,6
the best things in life aren't things,Die besten Dinge im Leben kann man nicht kaufen,7
the candle that burns twice as bright burns half as long,"Was hell brennt, brennt nicht lange",6
the comeback is greater than the setback,Auf Regen folgt Sonnenschein,6
the family that prays together stays together,Gemeinsam sind wir stark,5
the highest branch is not the safest roost,"Je höher der Baum, desto tiefer der Fall",7
the map is not the territory,Die Karte ist nicht die Landschaft,4
the moon is made of green cheese,Der Mond ist aus Käse,4
"the odds are good, but the goods are odd",Unter den Blinden ist der Einäugige König,6
the only way to understand a woman is to love her,"Frauen muss man nicht verstehen, sondern lieben",7
the revolution will not be televised,Die Revolution frisst ihre Kinder,3
the screwing you get isn't worth the screwing you get,Der Aufwand lohnt den Ertrag nicht,4
the screwing you get isn't worth the screwing you take,Der Aufwand lohnt den Ertrag nicht,4
the screwing you get isn't worth the screwing you're going to get,Der Aufwand lohnt den Ertrag nicht,4
the strong do what they can and the weak suffer what they must,"Der Starke tut, was er will, der Schwache leidet, was er muss",8
"the strong do what they can, the weak suffer what they must","Der Starke tut, was er will, der Schwache leidet, was er muss",8
the truth is effortless,Die Wahrheit ist einfach,6
the whistle does not pull the train,Ohne Fleiß kein Preis,4
the whistle doesn't pull the train,Ohne Fleiß kein Preis,4
the world is one's lobster,Die Welt liegt dir zu Füßen,7
there are more horses' asses than horses,Es gibt mehr Dumme als Klüge,3
there is no such thing as bad press,Auch schlechte Werbung ist Werbung,9
there is no such thing as bad publicity,Auch schlechte Werbung ist Werbung,10
there may be snow on the mountaintop but there's fire in the valley,"Außen grau, innen blau",3
there may be snow on the rooftop but there is fire in the furnace,"Außen grau, innen blau",3
they hate us 'cause they ain't us,"Neid muss man sich verdienen, Mitleid bekommt man geschenkt",9
"those who can't do, teach","Wer es nicht kann, der lehrt es",6
time and tide,Zeit und Flut warten auf niemanden,7
to learn a language is to have one more window from which to look at the world,Eine neue Sprache ist ein neues Leben,8
today is a good day to die,Heute ist ein guter Tag zum Sterben,7
treat 'em mean to keep 'em keen,"Zieh dich zurück, dann kommen sie von allein",4
"treat 'em mean, keep 'em keen","Zieh dich zurück, dann kommen sie von allein",4
"treat them mean, keep them keen","Zieh dich zurück, dann kommen sie von allein",4
truth is more valuable if it takes you a few years to find it,Gut Ding will Weile haben,4
two wrongs make a right,Zwei Fehler ergeben noch kein Recht,6
watched toast never burns,Ein beobachteter Topf kocht nie,8
what the eye does not see,"Was ich nicht weiß, macht mich nicht heiß",9
where there is a will,"Wo ein Wille ist, ist auch ein Weg",10
why buy the cow when you can get the milk for free,"Warum die Kuh kaufen, wenn man die Milch umsonst bekommt",8
you don't dip your pen in company ink,"Man sägt nicht an dem Ast, auf dem man sitzt",3
you don't dip your pen in the company's ink,"Man sägt nicht an dem Ast, auf dem man sitzt",3
you don't fish off the company pier,"Man sägt nicht an dem Ast, auf dem man sitzt",3
you must spoil before you spin,Ohne Fleiß kein Preis,3
you're never fully dressed without a smile,Lächeln ist die kürzeste Verbindung zwischen zwei Menschen,5
a language is a dialect with an army and navy,"",1
a man can do what he wills but he cannot will what he wills,"",1
a revolution is not a dinner party,"",1
a rising tide lifts all boats,"Mitgehangen, mitgefangen",3
a spoonful of sugar helps the medicine go down,Mit einem Lächeln geht alles leichter,5
a spoonful of sugar makes the medicine go down,Mit einem Lächeln geht alles leichter,5
a watched man never plays,"",1
a wild goose never laid a tame egg,Der Apfel fällt nicht weit vom Stamm,9
a) swarm in may is worth a load of hay; a swarm in june is worth a silver spoon; but a swarm in july is not worth a fly,"",1
absence makes the heart go yonder,"",1
an old dog for a hard road,Alte Füchse sind die besten Jäger,7
another happy landing,"",1
any hole's a goal,"",1
as queer as a three dollar bill,Komisch wie ein Fünfzigeuroschein mit Loch,1
ask my companion if i be a thief,"",1
bad facts make bad law,"",1
being poor is a mindset,"",1
being poor is a state of mind,"",1
believing is seeing,Der Glaube versetzt Berge,7
"bet on the jockey, not the horse",Auf den richtigen Mann kommt es an,6
"bet the jockey, not the horse",Auf den richtigen Mann kommt es an,6
"bi now, gay later","",1
buy the same horse twice,Sich ein X für ein U vormachen lassen,3
claret would be port if it could,"",1
"claw me, claw thee",Eine Hand wäscht die andere,9
close only counts in horseshoes,"",1
close only counts in horseshoes and darts,"",1
close only counts in horseshoes and hand grenades,"",1
"courage is the measure of a man, beauty is the measure of a woman","",1
criss-cross applesauce,"",1
denial is not a river in egypt,"",1
dicks before chicks,Brüder vor Bräuten,3
do not sympathize with those who can not empathize,"",1
does macy's tell gimbel's,"",1
don't buy green bananas,Schieb nichts auf die lange Bank,4
don't drop the soap,"",1
"easy, times easy, is still easy","",1
ecree,"",1
"february fill dyke, be it black or be it white","",1
"feed a cold, starve a fever","",1
"gender is between your ears, not between your legs","",1
"get woke, go broke","",1
"go fash, lose cash","",1
"go woke, go broke","",1
he who denied it supplied it,"Wer zuerst schreit, war’s auch",6
he who loves the world as his body may be entrusted with the empire,"",1
he who makes a beast out of himself gets rid of the pain of being a man,"",1
here we are,"",1
hoes before bros,"",1
hydrate or diedrate,"",1
"i before e, except after c","",1
iar,"",1
"if there's grass on the field, play ball","",1
"if there's grass on the pitch, play ball","",1
"if there's grass on the wicket, let's play cricket","",1
"if you go far enough left, you get your guns back","",1
"if you have never seen the bottom of the tree, you cannot know how tall it stands","",1
"if you torture the data long enough, it will confess to anything","",1
"islands depend on reeds, just as reeds depend on islands","",1
"it ain't the meat, it's the motion","",1
it is a wise child that knows his own father,"",1
"it is better to cultivate a land with two bulls, rather working under boss who never gives wage when asked","",1
it is like juggling sand,"",1
it is on,"",1
it took nixon to go to china,"",1
it wasn't only only,"",1
it's better to be judged by twelve than to be carried by six,"",1
"it's not the meat, it's the motion","",1
kill the chicken to scare the monkey,"",1
kindness in words creates confidence. kindness in thinking creates profoundness. kindness in giving creates love,"",1
kissing goes by favor,"",1
knee-high by the fourth of july,"",1
"knowledge is power, guard it well",Wissen ist Macht,9
late lunch makes day go faster,"",1
"laugh before breakfast, cry before supper","",1
"learn a language, and you will avoid a war","",1
"leaves of three, let it be","",1
let sleeping aussies lie,Schlafende Hunde soll man nicht wecken,10
lex dubia non obligat,Im Zweifel für den Angeklagten,6
lie back and think of england,"",1
life is like a box of chocolates,"Das Leben ist wie eine Pralinenschachtel, man weiß nie, was man kriegt",9
like) trying to grow a goose,"",1
"long ways, long lies","Weit her, viel gelogen",10
mackerel sky and mare's-tails make lofty ships carry low sails,Morgenrot – schlecht Wetter droht,6
mackerel sky and mare's-tails make tall ships carry low sails,Morgenrot – schlecht Wetter droht,6
memory is the treasure of the mind,"Erinnerungen sind das einzige Paradies, aus dem wir nicht vertrieben werden können",7
"men get spoiled by staying, women get spoiled by wandering","",1
milking the bull,Perlen vor die Säue werfen,5
misters before sisters,"",1
"monday's child is fair of face, tuesday's child is full of grace, wednesday's child is full of woe, thursday's child has far to go, friday's child is loving and giving, saturday's child works hard for its living, and a child that is born on the sabbath day is fair and wise and good and gay","",1
money won is twice as sweet as money earned,Gewonnenes Geld schmeckt am besten,6
nature abhors a vacuum,Die Natur kennt kein Vakuum,8
nearly never bulled a cow,Beinahe bringt die Kuh nicht ins Kalb,4
never fight a land war in asia,"",1
never give a sucker an even break,Einem Dummen gibt man keinen Vorteil,3
never meet your heroes,Triff deine Idole nie im echten Leben,6
nine tailors make a man,"",1
"nine you're fine, ten you're mine","",1
"no hymen, no diamond","",1
of course my horse,"",1
"once a woman, twice a child","Zweimal Kind, einmal Mann",4
"once you go black, you never go back","",1
"one night with venus, a lifetime with mercury","",1
only fools and horses work,Arbeit ist die beste Strafe,3
only nixon can go to china,"",1
only nixon could go to china,"",1
ontogeny recapitulates phylogeny,"",1
parsley seed goes nine times to the devil,"",1
"race on sunday, sell on monday","",1
real men don't eat quiche,"",1
scratch a liberal and a fascist bleeds,"",1
scratch a liberal and you'll find a fascist,"",1
semper ubi sub ubi,"",1
smooth move,Ganz große Klasse,5
snitches get stitches and end up in ditches,"Wer petzt, kriegt eins aufs Letzte",3
snitches get stitches and wind up in ditches,"Wer petzt, kriegt eins aufs Letzte",3
so far so bad,"Bis hierher lief’s noch ganz gut, sagte der Mann, der vom Hochhaus fiel",7
sometimes we are the student. sometimes we are the master. and sometimes we are merely the lesson,"",1
sore boob means more boob,"",1
spitters are quitters,"",1
success is a great deodorant,Der Erfolg heiligt die Mittel,6
tell its own story,Das spricht für sich,9
the female of the species is more deadly than the male,"Was sich liebt, das neckt sich",1
the first turn of the screw pays all debts,"",1
the freaks come out at night,Nachts sind alle Katzen grau,6
the fucking you get isn't worth the fucking you get,Der Lohn steht in keinem Verhältnis zur Mühe,3
the fucking you get isn't worth the fucking you take,Der Lohn steht in keinem Verhältnis zur Mühe,3
the fucking you get isn't worth the fucking you're going to get,Der Lohn steht in keinem Verhältnis zur Mühe,3
the longest pole knocks the persimmon,"",1
"the more one learns about people, the more one likes one's pet","Je mehr ich von den Menschen sehe, desto lieber sind mir die Tiere",8
the old wooden spoon beats me down,"",1
the stupid monkey knows not to eat the banana skin,"",1
there is reason in the roasting of eggs,"",1
they'll do it every time,Einmal ist keinmal,2
time goes by slowly when you are living intensely,Glückliche Stunden vergehen wie im Flug,4
to be worn out is to be renewed,Ohne Fleiß kein Preis,2
tokens get spent,"",1
wanton kittens make sober cats,Junge Huren werden alte Nonnen,5
what is the worst that can happen,"Es wird schon nicht so heiß gegessen, wie es gekocht wird",5
what wins on sunday sells on monday,"Wer heute sät, wird morgen ernten",3
"when the oak is before the ash, then you will only get a splash; when the ash is before the oak, then you may expect a soak","",1
whoever smelt it dealt it,"Wer zuerst schreit, hat’s getan",4
why buy a book when you can join a library,"Warum die Kuh kaufen, wenn man die Milch umsonst bekommt",8
"win on sunday, sell on monday","Wer heute sät, wird morgen ernten",3
winning is a great deodorant,Der Erfolg heiligt die Mittel,6
"wins on sunday, sells on monday","Wer heute sät, wird morgen ernten",3
woman is the root of both good and evil,Hinter jedem starken Mann steht eine starke Frau,2
wrap it before you tap it,Vorsicht ist besser als Nachsicht,5
y'all means all,"",1
you can't turn a hoe into a housewife,"",1
you don't dip your pen in the inkwell,"",1
you either die a hero or live long enough to see yourself become the villain,Helden leben gefährlich,3
you get more with a kind word and a gun than you do with a kind word alone,Mit Zuckerbrot und Peitsche erreicht man mehr,9
"you smelt it, you dealt it","Wer zuerst schreit, hat’s getan",4
"your face, your fate","Wie man sich bettet, so liegt man",3
